
Gdrive of all :  https://drive.google.com/open?id=1neKBKIxLu9Rxn5M2UU8sMtYlHYH3JjrE


JupyterHub
Home
rpothiappan621
Info
Video Links
Video Downloads
Grades
Schedule
Lectures will be distributed every week as a set of 4 hour long videos. The links will be posted here as they are uploaded.

Video links below

Date	Event	Youtube Link
Monday 13-Apr-2020 9:30 am	Introduction to Machine Learning	https://youtu.be/9J6FNvil6Gw
Monday 13-Apr-2020 9:30 am	1.2.1 Intro to Scikit-learn	https://youtu.be/ecryKgFv5MA
Monday 13-Apr-2020 9:30 am	1.2.2 Predictors	https://youtu.be/AHALKrsFdVw
Monday 13-Apr-2020 9:30 am	1.2.3 Transformers and Pipelines	https://youtu.be/zVU4131QPsw
Monday 13-Apr-2020 9:30 am	1.2.4 Feature Unions	https://youtu.be/_gOyCmdumps
Monday 13-Apr-2020 9:30 am	1.2.5 Custom Transformers	https://youtu.be/I0YbI9x51kU
Monday 13-Apr-2020 9:30 am	1.2.6 Custom Predictors	https://youtu.be/bxf2JHcH4UI
Monday 13-Apr-2020 9:30 am	1.2.7 Exercise Distance Transformer	https://youtu.be/0zYnOu1axGQ
Monday 13-Apr-2020 9:30 am	1.2.8 Exercise Majority Classifier	https://youtu.be/SGLjDeJqDb0
Monday 13-Apr-2020 9:30 am	1.3.1 Persisting Your Model	https://youtu.be/V9Pm_EZvABA
Monday 13-Apr-2020 9:30 am	1.3.2 Common Mistakes	https://youtu.be/YZQNIUIAi3A
Monday 20-Apr-2020 9:30 am	2.1.1 Regression Metrics	https://youtu.be/wlMrMvphMuw
Monday 20-Apr-2020 9:30 am	2.2.1 Linear Regression Intro	https://youtu.be/L1h6cIG8XcA
Monday 20-Apr-2020 9:30 am	2.2.2 Gradient Descent and Huber Loss	https://youtu.be/j0d4RogPiXM
Monday 20-Apr-2020 9:30 am	2.2.3 Multivariate Regression	https://youtu.be/9YZbXipwAQg
Monday 20-Apr-2020 9:30 am	2.2.4 Feature Importance	https://youtu.be/x5XB1ynjCGI
Monday 20-Apr-2020 9:30 am	2.3.1 Classification Metrics	https://youtu.be/SMmbzWn8yGI
Monday 20-Apr-2020 9:30 am	2.3.2 Probabilistic Models and Metrics	https://youtu.be/4MgWh8oD-hQ
Monday 20-Apr-2020 9:30 am	2.3.3 Logistic Regression	https://youtu.be/oqj-0_4WKq4
Monday 20-Apr-2020 9:30 am	2.3.4 Multiclassification	https://youtu.be/gOVP8c1Cmmg
Monday 20-Apr-2020 9:30 am	2.4.1 Model Selection	https://youtu.be/lEBStVJXXpM
Monday 20-Apr-2020 9:30 am	2.4.2 Intro to Decision Trees	https://youtu.be/D6tNPIXCI1o
Monday 20-Apr-2020 9:30 am	2.4.3 Underfitting and Overfitting	https://youtu.be/ZhhvoUAhA80
